ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,347,1648,922.756674757,452.127427184
1,348,1068,798.540262172,468.264981273
1,349,1399,21.9278055754,465.827019299
1,350,2026,1702.1071076,457.66189536
1,351,2345,1830.84051173,467.280597015
1,352,1500,875.836,466.608666667
1,353,1772,727.489277652,474.564334086
1,354,1317,824.657555049,481.658314351
1,355,2338,341.325064157,477.506843456
1,356,1286,271.876360809,472.217729393
1,357,2210,577.530316742,478.461085973
1,358,729,923.668038409,477.961591221
1,359,1217,300.315529992,482.352506163
1,360,1075,913.657674419,495.823255814
1,361,3090,1027.52944984,491.402265372
1,362,2210,183.664253394,490.978733032
1,363,1907,20.8463555322,501.334556896
1,364,2521,1567.93415311,496.786592622
1,365,3146,466.100762873,494.588048315
1,366,1160,248.209482759,492.950862069
1,367,1822,1864.63940724,496.203073546
1,368,1530,885.392810458,505.41503268
1,369,659,208.960546282,502.840667678
1,370,1924,1700.40748441,494.353430353
1,371,1085,223.202764977,514.937327189
1,372,1263,1187.36262866,505.832145685
1,373,1356,278.343657817,517.98820059
1,374,2133,1153.84435068,515.493670886
1,375,1807,1352.1283896,510.381848367
1,376,2545,82.0062868369,517.436935167
1,377,1427,1235.91240364,519.118430273
1,378,663,247.429864253,527.453996983
1,379,1482,1868.68893387,529.282051282
1,380,2352,140.607568027,525.703656463
1,381,1461,1207.23887748,527.074606434
1,382,2392,518.355351171,527.650919732
1,383,1623,1719.74430068,530.115834874
1,384,2657,978.0748965,519.84230335
1,385,1718,783.057625146,527.9225844
1,386,1749,1415.64093768,527.375071469
1,387,2475,1673.15151515,527.298585859
1,388,1463,874.131237184,535.12303486
1,389,3601,1090.05137462,538.187447931
1,390,1567,456.932354818,534.744097001
1,391,1662,755.11612515,542.193742479
1,392,2456,341.464576547,546.024429967
1,393,2307,1821.54009536,542.544863459
1,394,1234,1370.04051864,544.944084279
1,395,1715,1514.72303207,543.083965015
1,396,1241,1484.61643836,544.587429492
1,397,2570,1036.092607,543.071984436
1,398,1929,1332.38672888,548.623639191
1,399,1081,438.543015726,554.160037003
1,400,1948,635.458932238,542.245893224
1,401,1472,210.015625,552.099184783
1,402,2106,269.012820513,556.52374169
1,403,1735,1134.54178674,555.470317003
1,404,1772,1654.76185102,560.098758465
1,405,995,1392.19296482,556.88040201
1,406,1044,370.150383142,554.456896552
1,407,1562,910.591549296,555.793213828
1,408,956,1429.53556485,560.985355649
1,409,1724,857.795243619,566.687935035
1,410,1840,630.6375,577.121195652
1,411,1326,1248.61387632,562.503016591
1,412,3229,1956.80860948,570.799318675
1,413,2461,36.8346200731,575.638358391
1,414,2076,395.368978805,567.498554913
1,415,1512,82.7506613757,571.567460317
1,416,1008,189.170634921,571.571428571
1,417,1598,445.812891114,581.745306633
1,418,1671,905.192698983,587.649910233
1,419,2319,579.418283743,582.76800345
1,420,2099,1165.29156741,583.99285374
1,421,1703,1408.29007634,586.981796829
1,422,2341,1272.79410508,591.395984622
1,423,2068,794.689071567,583.925531915
1,424,1156,166.987889273,583.543252595
1,425,1798,109.092880979,595.904894327
1,426,1115,142.815246637,588.356950673
1,427,2338,516.875106929,591.414029085
1,428,1952,211.083504098,602.912909836
1,429,2340,994.020512821,603.058974359
1,430,1290,1123.94496124,594.865116279
1,431,1341,362.624161074,598.592841163
1,432,2309,1733.33521005,602.74014725
1,433,1923,1211.56526261,602.255330213
1,434,804,1086.72014925,601.226368159
1,435,1035,475.782608696,601.021256039
1,436,1405,1181.08469751,620.842704626
1,437,340,497.208823529,614.058823529
1,438,637,451.455259027,612.328100471
1,439,1235,1123.22672065,624.215384615
1,440,2486,1489.90305712,614.240144811
1,441,2353,325.126221844,618.195495113
1,442,1319,442.320697498,629.322971948
1,443,1173,148.824381927,626.307757886
1,444,1013,178.870681145,626.235932873
1,445,1740,930.277586207,618.710344828
1,446,1442,877.253120666,621.512482663
1,447,1112,489.083633094,636.897482014
1,448,1079,1087.19925857,627.089898054
1,449,1434,523.881450488,637.573221757
1,450,2215,780.828893905,628.249209932
1,451,1958,361.334525026,641.654239019
1,452,2409,25.1656288917,634.346201743
1,453,1852,109.280237581,635.660907127
1,454,1116,842.180107527,631.003584229
1,455,1520,816.258552632,646.505921053
1,456,2595,1379.32716763,643.273988439
1,457,1577,232.146480659,640.133798351
1,458,1251,901.956834532,645.98401279
1,459,490,862.057142857,644.957142857
1,460,1600,1092.61125,654.793125
1,461,2381,1620.47459051,647.493070139
1,462,1118,958.788908766,646.020572451
1,463,1731,1527.34546505,653.261120739
1,464,2532,608.709320695,652.887045814
1,465,2263,400.181617322,657.64516129
1,466,817,925.567931457,663.971848225
1,467,1188,859.777777778,668.521885522
1,468,1497,267.454241817,664.620574482
1,469,1053,426.934472934,660.00379867
1,470,1902,61.7223974763,663.621976866
1,471,1900,714.306842105,660.006315789
1,472,1351,955.925240563,675.578830496
1,473,1895,158.447493404,663.158311346
1,474,1650,227.012727273,673.89030303
1,475,2100,1028.57190476,666.568571429
1,476,2193,1586.24304606,673.399452804
1,477,2299,1261.50891692,674.32753371
1,478,943,1094.83563097,681.930010604
1,479,2035,670.004914005,677.888452088
1,480,1400,142.507142857,689.005714286
1,481,1919,1479.56904638,682.971339239
1,482,2153,100.127264282,683.93358105
1,483,1677,533.717948718,688.234347048
1,484,1349,908.121571534,684.725722758
1,485,1651,1177.97395518,686.811629316
1,486,1313,480.964965727,691.350342727
1,487,1054,837.433586338,686.790322581
1,488,1595,1077.56426332,697.872100313
1,489,904,509.810840708,698.89380531
1,490,1899,436.100052659,693.46340179
1,491,2210,315.866063348,701.029411765
1,492,1500,712.554,696.798
1,493,1997,47.3194792188,703.673009514
1,494,929,825.491926803,703.64262648
1,495,1814,1720.96802646,701.073869901
1,496,1147,901.210113339,708.058413252
1,497,2012,1911.80914513,710.164015905
1,498,2345,1231.40597015,711.783795309
1,499,1667,378.899820036,709.636472705
1,500,1464,462.81489071,720.887978142
1,501,2118,205.728989613,715.393767705
1,502,1290,712.36124031,722.93875969
1,503,2470,649.199190283,722.093927126
1,504,1898,1948.23972603,716.178082192
1,505,866,1176.74711316,716.177829099
1,506,1500,1645.70733333,714.895333333
1,507,2005,867.555112219,724.041396509
1,508,1478,1982.49661705,723.48714479
1,509,1480,1056.23918919,723.143918919
1,510,1942,1759.05973223,719.070545829
1,511,2735,596.397440585,725.029250457
1,512,1335,818.389513109,726.161048689
1,513,1393,549.591529074,727.444364681
1,514,1136,137.162852113,733.143485915
1,515,1976,348.897773279,736.058704453
1,516,1231,1197.66043867,734.28757108
1,517,1509,165.693174288,733.801192843
1,518,1468,1092.69141689,739.945504087
1,519,1962,415.413863405,736.165647299
1,520,1869,921.037988229,735.924023542
1,521,2344,82.6348122867,735.444539249
1,522,1315,1628.74828897,739.150570342
1,523,1959,788.758550281,741.171005615
1,524,1976,1723.61082996,749.335020243
1,525,2997,1147.62095429,745.627961295
1,526,1255,1016.70358566,740.19123506
1,527,1676,1430.44570406,748.46300716
1,528,2051,1807.38225256,750.948805461
1,529,2351,687.889408762,758.721820502
1,530,1006,1038.98310139,757.166003976
1,531,1568,1633.55612245,766.80994898
1,532,1617,988.316635745,763.573283859
1,533,1750,376.367428571,766.08
1,534,2119,530.715903728,762.378952336
1,535,1616,589.786509901,765.058787129
1,536,1006,1195.39860835,767.875745527
1,537,1052,1768.35741445,756.099809886
1,538,1329,1250.95936795,764.280662152
1,539,1050,1222.61904762,762.016190476
1,540,1560,1067.0974359,772.225641026
1,541,3131,450.121047589,780.540083041
1,542,1914,931.479101358,772.539707419
1,543,1968,1421.86534553,782.976626016
1,544,1506,1780.20385126,784.397742364
1,545,1409,817.476224273,774.66146203
1,546,598,1191.18394649,787.31270903
1,547,1805,249.880886427,780.534626039
1,548,764,218.620418848,776.376963351
1,549,1445,404.933564014,781.468512111
1,550,1519,568.041474654,788.309414088
1,551,1666,1020.11104442,790.731092437
1,552,948,785.550632911,786.935654008
1,553,515,1232.79029126,795.714563107
1,554,1724,1100.25986079,791.980278422
1,555,970,1752.76082474,799.454639175
1,556,1042,1726.70729367,787.757197697
1,557,972,210.62345679,798.523662551
1,558,2127,627.616361072,794.692994828
1,559,1862,919.382384533,805.522556391
1,560,2131,1299.49976537,797.867198498
1,561,1596,1261.70300752,800.103383459
1,562,1399,1148.83202287,792.664045747
1,563,2339,1502.24369389,796.045318512
1,564,2313,133.084306096,803.290531777
1,565,1594,1458.62045169,802.804265997
1,566,2142,83.1134453782,802.732959851
1,567,1606,736.316313823,804.239103362
1,568,1720,808.254069767,813.516860465
1,569,994,1214.64788732,810.087525151
1,570,2246,265.271593945,816.2079252
1,571,2188,403.513711152,821.201553931
1,572,1598,1332.46307885,815.823529412
1,573,1812,1059.24613687,814.225165563
1,574,1151,1132.50130321,818.346655083
1,575,2537,1406.62869531,821.464722113
1,576,1802,570.392896781,821.710321865
1,577,3593,1694.85583078,818.901196772
1,578,821,1170.62850183,820.261875761
1,579,1035,1506.62125604,834.1352657
1,580,1429,1196.87753674,828.740377887
1,581,2243,180.44716897,822.880517165
1,582,1293,1473.13379737,838.13070379
1,583,1742,1555.66647532,830.44489093
1,584,1678,611.976758045,833.907628129
1,585,2097,652.190748689,839.577014783
1,586,988,1097.72773279,832.107287449
1,587,2277,102.211682038,844.496706192
1,588,2499,514.213285314,839.43897559
1,589,1779,739.267566048,842.848229342
1,590,2103,879.04041845,843.049928673
1,591,1927,918.577581733,849.188375714
1,592,2183,1979.29042602,844.911589556
1,593,1184,1152.57179054,849.430743243
1,594,2078,345.789220404,839.46053898
1,595,647,1254.08500773,834.489953632
1,596,2081,1657.71407977,850.114368092
1,597,2228,47.762567325,847.017504488
1,598,1723,1004.30179919,843.801508996
1,599,667,1086.74962519,856.190404798
1,600,824,1380.84101942,853.166262136
1,601,1261,1118.14036479,855.565424266
1,602,1263,1231.48297704,847.083927158
1,603,1639,1267.3081147,861.19219036
1,604,2025,1350.8962963,851.552592593
1,605,1988,772.861167002,852.209758551
1,606,1088,1182.70128676,860.538602941
1,607,1580,837.416455696,849.859493671
1,608,1754,1056.34891676,856.940706956
1,609,2266,157.612091792,859.173874669
1,610,1554,1410.502574,863.53024453
1,611,819,805.078144078,853.844932845
1,612,1897,952.200843437,865.063257775
1,613,1292,1475.9620743,868.172600619
1,614,1126,10.5142095915,861.292184725
1,615,2447,567.132815693,867.811606048
1,616,2081,699.282075925,861.827967323
1,617,1220,805.854918033,880.702459016
1,618,2364,326.31641286,878.55964467
1,619,1462,1024.22982216,878.713406293
1,620,2006,1569.04336989,873.052841476
1,621,756,528.574074074,875.060846561
1,622,1582,985.981668774,882.586599241
1,623,1616,1226.19863861,884.426361386
1,624,1602,1133.44069913,888.569912609
1,625,2091,673.31229077,890.651841224
1,626,2229,386.868999551,893.094212651
1,627,1653,843.467029643,894.320629159
1,628,1370,1069.05328467,891.27080292
1,629,2088,53.4722222222,892.426245211
1,630,2458,518.258340114,904.385272579
1,631,2382,1793.74433249,904.06759026
1,632,1603,880.735495945,898.945726762
1,633,1511,1100.83587028,904.870946393
1,634,763,1563.88466579,905.73525557
1,635,1993,908.693928751,923.817360763
1,636,1679,987.593805837,917.693865396
1,637,1493,18.5867381112,915.805760214
1,638,1787,636.304420817,915.1538892
1,639,2184,219.330586081,920.18040293
1,640,751,393.838881491,920.227696405
1,641,1156,1538.89359862,918.673875433
1,642,1581,1214.56925996,916.462365591
1,643,2084,1590.68378119,922.625239923
1,644,1334,1153.92278861,918.200149925
1,645,2549,154.552765791,925.648097293
1,646,2637,789.631020099,921.731892302
1,647,1877,1038.07352158,923.221097496
1,648,2049,60.009760859,935.088335774
1,649,1477,839.983750846,931.522004062
1,650,1064,1070.88721805,932.839285714
1,651,2434,1477.94782251,934.608052588
1,652,1377,276.673202614,928.065359477
1,653,616,388.152597403,938.920454545
1,654,715,1126.94965035,935.634965035
1,655,2774,1320.50432588,933.428262437
1,656,1972,670.458924949,942.068458418
1,657,1129,946.082373782,935.784765279
1,658,984,12.387195122,951.485772358
1,659,1870,361.798930481,947.986631016
1,660,1174,1103.60306644,945.065587734
1,661,1550,1160.88903226,949.347096774
1,662,1425,1246.69754386,941.086315789
1,663,1317,982.135914958,948.954441913
1,664,1019,1188.16192345,945.133464181
1,665,1379,1557.77592458,955.22697607
1,666,1328,623.732680723,948.972138554
1,667,1723,867.907138712,952.225188624
1,668,996,1214.08032129,954.309236948
1,669,1868,250.169700214,955.402569593
1,670,2222,485.157515752,947.978847885
1,671,872,1530.2706422,953.744266055
1,672,1424,1985.05196629,953.75
1,673,988,308.932186235,949.644736842
1,674,2068,423.70212766,947.800290135
1,675,2280,103.592982456,956.299561404
1,676,862,289.345707657,968.923433875
1,677,2140,593.019626168,970.058411215
1,678,2416,1365.36837748,964.264486755
1,679,1974,954.110942249,975.654002026
1,680,1284,506.201713396,975.503115265
1,681,1279,1238.24003127,976.375293198
1,682,2061,1063.70014556,972.680737506
1,683,2570,548.657587549,977.639299611
1,684,2017,904.69162122,973.097669807
1,685,2155,705.48863109,972.20974478
1,686,1432,431.415502793,979.320530726
1,687,2657,783.572826496,977.913059842
1,688,1699,1113.77045321,978.123602119
1,689,2496,1505.53165064,981.630208333
1,690,1957,324.222278998,983.14001022
1,691,2453,53.1785568691,984.88626172
1,692,1522,211.097897503,982.542049934
1,693,1707,1190.53661394,987.763327475
1,694,2864,1286.19832402,993.31599162
1,695,3362,1011.92712671,985.404223676
1,696,1050,1249.95809524,999.373333333
1,697,1290,1153.0496124,993.196899225
1,698,1051,452.546146527,996.435775452
1,699,1525,617.474754098,998.455081967
1,700,2677,1834.66156145,997.186776242
1,701,1071,1087.88235294,1003.5070028
1,702,3704,835.930075594,996.846922246
1,703,1025,678.956097561,1008.29463415
1,704,2057,653.779776373,1003.18035975
1,705,2168,744.814114391,1000.99538745
1,706,949,176.875658588,1001.97787144
1,707,808,428.22029703,1012.09777228
1,708,743,198.507402423,1018.97442799
1,709,1464,246.245901639,1007.48702186
1,710,1828,1120.96936543,1022.59846827
